,C4525
2021-03-22,2.3
2021-03-23,1.625
2021-03-24,1.425
2021-03-25,1.7000000000000002
2021-03-26,2.325
2021-03-29,2.5250000000000004
2021-03-30,1.75
2021-03-31,2.2750000000000004
2021-04-01,2.975
2021-04-05,4.5
2021-04-06,3.9
2021-04-07,2.95
2021-04-08,4.85
2021-04-09,4.8
2021-04-12,5.2
2021-04-13,5.4
2021-04-14,4.05
2021-04-15,5.25
2021-04-16,5.35
2021-04-19,4.35
2021-04-20,3.4
2021-04-21,3.8
2021-04-22,3.0
2021-04-23,3.8
2021-04-26,3.8
2021-04-27,3.35
2021-04-28,2.65
2021-04-29,3.74
2021-04-30,2.99
2021-05-03,2.82
2021-05-04,1.89
2021-05-05,1.875
2021-05-06,2.3
2021-05-07,3.0
2021-05-10,2.37
2021-05-11,1.275
2021-05-12,1.12
2021-05-13,0.9750000000000001
2021-05-14,0.9
2021-05-17,0.68
2021-05-18,0.47
2021-05-19,0.4
2021-05-20,0.69
2021-05-21,0.75
2021-05-24,0.52
2021-05-25,0.25
2021-05-26,0.26
2021-05-27,0.2
2021-05-28,0.3
2021-06-01,0.175
2021-06-02,0.15
2021-06-03,0.25
2021-06-04,0.125
2021-06-07,0.1
2021-06-08,0.1
2021-06-09,0.1
2021-06-10,0.1
2021-06-11,0.05
2021-06-14,0.05
2021-06-15,0.05
2021-06-16,0.05
2021-06-17,0.05
