,C4525,DELTA,VEGA
2023-05-22,14.34,,
2023-05-23,8.75,,
2023-05-24,7.1,,
2023-05-25,8.54,,
2023-05-26,14.75,,
2023-05-30,12.4,,
2023-05-31,9.5,,
2023-06-01,11.85,,
2023-06-02,21.95,,
2023-06-05,19.2,,
2023-06-06,16.58,,
2023-06-07,13.61,,
2023-06-08,16.18,,
2023-06-09,17.55,,
2023-06-12,26.49,,
2023-06-13,33.0,,
2023-06-14,30.75,,
2023-06-15,47.68,,
2023-06-16,56.89,,
2023-06-20,38.8,,
2023-06-21,29.76,,
2023-06-22,25.38,,
2023-06-23,18.78,,
2023-06-26,15.1,,
2023-06-27,24.85,,
2023-06-28,20.42,,
2023-06-29,25.55,,
2023-06-30,43.12,,
2023-07-03,45.4,,
2023-07-05,43.97,,
2023-07-06,31.5,,
2023-07-07,25.3,,
2023-07-10,27.58,,
2023-07-11,36.07,,
2023-07-12,44.3,,
2023-07-13,63.93,,
2023-07-14,57.65,,
2023-07-17,64.32,,
2023-07-18,84.72,,
2023-07-19,95.55,,
2023-07-20,71.5,,
2023-07-21,69.11,0.5851,4.8819
2023-07-24,77.2,0.6264,4.5744
2023-07-25,90.7,0.6532,4.4642
2023-07-26,78.1,0.6636,4.0109
2023-07-27,61.69,0.5797,4.3425
2023-07-28,92.18,0.7296,3.7374
2023-07-31,91.3,0.7295,3.5057
2023-08-01,84.58,0.717,3.415
2023-08-02,45.55,0.5863,3.7082
2023-08-03,39.0,0.4556,3.6736
2023-08-04,27.68,0.3569,3.3469
2023-08-07,37.16,0.4932,3.128
2023-08-08,25.69,0.405,2.7919
2023-08-09,16.57,0.2861,2.2859
2023-08-10,12.0,0.2506,2.1765
2023-08-11,7.2,0.1955,1.7055
2023-08-14,7.95,0.2624,1.6422
2023-08-15,0.95,0.0434,0.3498
2023-08-16,0.12,0.0084,0.086
2023-08-17,0.05,0.0016,0.0133
