,P4450
2021-03-22,522.25
2021-03-23,547.3499999999999
2021-03-24,569.45
2021-03-25,546.8499999999999
2021-03-26,489.95
2021-03-29,489.6
2021-03-30,502.35
2021-03-31,488.4
2021-04-01,440.6
2021-04-05,388.95
2021-04-06,392.4
2021-04-07,382.75
2021-04-08,363.35
2021-04-09,346.45
2021-04-12,338.0
2021-04-13,325.6
2021-04-14,334.7
2021-04-15,298.54999999999995
2021-04-16,287.6
2021-04-19,300.75
2021-04-20,334.75
2021-04-21,298.8
2021-04-22,327.25
2021-04-23,290.70000000000005
2021-04-26,279.9
2021-04-27,278.0
2021-04-28,276.75
2021-04-29,257.3
2021-04-30,275.75
2021-05-03,272.6
2021-05-04,297.85
2021-05-05,292.45
2021-05-06,261.2
2021-05-07,232.28
2021-05-10,254.77
2021-05-11,312.25
2021-05-12,396.05
2021-05-13,345.85
2021-05-14,279.15
2021-05-17,291.5
2021-05-18,327.95
2021-05-19,343.25
2021-05-20,297.75
2021-05-21,293.9
2021-05-24,252.9
2021-05-25,265.45
2021-05-26,257.05
2021-05-27,242.35
2021-05-28,246.45
2021-06-01,250.2
2021-06-02,245.25
2021-06-03,260.45
2021-06-04,224.25
2021-06-07,224.45
2021-06-08,224.45
2021-06-09,228.14999999999998
2021-06-10,212.75
2021-06-11,205.05
2021-06-14,201.0
2021-06-15,202.64999999999998
2021-06-16,226.05
2021-06-17,225.14999999999998
