,P4450,DELTA,VEGA
2023-01-23,410.45000000000005,,
2023-01-24,404.0,,
2023-01-25,413.7,,
2023-01-26,374.8,,
2023-01-27,362.04999999999995,,
2023-01-30,403.4,,
2023-01-31,361.54999999999995,,
2023-02-01,370.85,,
2023-02-02,290.65,,
2023-02-03,309.6,,
2023-02-06,321.21,,
2023-02-07,296.65,,
2023-02-08,313.47,,
2023-02-09,356.15,,
2023-02-10,349.5,,
2023-02-13,303.9,,
2023-02-14,306.1,,
2023-02-15,296.61,,
2023-02-16,344.9,,
2023-02-17,354.6,,
2023-02-21,427.9,,
2023-02-22,436.3,,
2023-02-23,420.2,,
2023-02-24,475.59,,
2023-02-27,449.24,,
2023-02-28,467.29999999999995,,
2023-03-01,465.95,,
2023-03-02,449.3,,
2023-03-03,385.5,,
2023-03-06,382.65,,
2023-03-07,445.8,,
2023-03-08,438.65,,
2023-03-09,518.8499999999999,,
2023-03-10,572.5,,
2023-03-13,570.85,,
2023-03-14,520.95,,
2023-03-15,544.7,,
2023-03-16,474.0,,
2023-03-17,517.4000000000001,,
2023-03-20,483.7,,
2023-03-21,432.1,,
2023-03-22,495.1,-0.963,1.0144
2023-03-23,490.45,-0.943,1.5248
2023-03-24,463.54999999999995,-0.9816,0.5538
2023-03-27,456.65,-0.981,0.5168
2023-03-28,463.9,-0.9805,0.4986
2023-03-29,411.04999999999995,-0.9796,0.4983
2023-03-30,388.4,-0.9834,0.4946
2023-03-31,333.8,-0.9589,0.8352
2023-04-03,335.4,-0.9837,0.4528
2023-04-04,339.20000000000005,-0.992,0.2296
2023-04-05,353.45,-0.9705,0.7129
2023-04-06,339.1,-0.9675,0.6874
2023-04-10,330.65,-0.994,0.1731
2023-04-11,331.7,-0.998,0.0348
2023-04-12,351.35,-0.9911,0.155
2023-04-13,299.45000000000005,-0.9881,0.1441
2023-04-14,307.45,-0.9876,0.2717
2023-04-17,293.25,,
2023-04-18,295.4,-0.9814,0.1804
2023-04-19,299.1,-0.9581,0.2686
2023-04-20,318.2,-0.8242,0.705
