Date,"3 Mo"
12/30/2022,"4.42"
12/29/2022,"4.45"
12/28/2022,"4.46"
12/27/2022,"4.46"
12/23/2022,"4.34"
12/22/2022,"4.35"
12/21/2022,"4.33"
12/20/2022,"4.35"
12/19/2022,"4.37"
12/16/2022,"4.31"
12/15/2022,"4.34"
12/14/2022,"4.33"
12/13/2022,"4.35"
12/12/2022,"4.38"
12/09/2022,"4.31"
12/08/2022,"4.28"
12/07/2022,"4.29"
12/06/2022,"4.37"
12/05/2022,"4.36"
12/02/2022,"4.34"
12/01/2022,"4.33"
11/30/2022,"4.37"
11/29/2022,"4.38"
11/28/2022,"4.41"
11/25/2022,"4.41"
11/23/2022,"4.40"
11/22/2022,"4.40"
11/21/2022,"4.41"
11/18/2022,"4.34"
11/17/2022,"4.32"
11/16/2022,"4.32"
11/15/2022,"4.31"
11/14/2022,"4.34"
11/10/2022,"4.28"
11/09/2022,"4.29"
11/08/2022,"4.28"
11/07/2022,"4.29"
11/04/2022,"4.21"
11/03/2022,"4.25"
11/02/2022,"4.22"
11/01/2022,"4.23"
10/31/2022,"4.22"
10/28/2022,"4.18"
10/27/2022,"4.13"
10/26/2022,"4.11"
10/25/2022,"4.14"
10/24/2022,"4.16"
10/21/2022,"4.09"
10/20/2022,"4.09"
10/19/2022,"4.07"
10/18/2022,"4.04"
10/17/2022,"3.97"
10/14/2022,"3.81"
10/13/2022,"3.79"
10/12/2022,"3.70"
10/11/2022,"3.67"
10/07/2022,"3.45"
10/06/2022,"3.46"
10/05/2022,"3.46"
10/04/2022,"3.45"
10/03/2022,"3.46"
09/30/2022,"3.33"
09/29/2022,"3.36"
09/28/2022,"3.40"
09/27/2022,"3.35"
09/26/2022,"3.39"
09/23/2022,"3.24"
09/22/2022,"3.29"
09/21/2022,"3.31"
09/20/2022,"3.35"
09/19/2022,"3.37"
09/16/2022,"3.20"
09/15/2022,"3.22"
09/14/2022,"3.24"
09/13/2022,"3.28"
09/12/2022,"3.17"
09/09/2022,"3.08"
09/08/2022,"3.06"
09/07/2022,"3.07"
09/06/2022,"3.04"
09/02/2022,"2.94"
09/01/2022,"2.97"
08/31/2022,"2.96"
08/30/2022,"2.97"
08/29/2022,"2.97"
08/26/2022,"2.89"
08/25/2022,"2.88"
08/24/2022,"2.82"
08/23/2022,"2.80"
08/22/2022,"2.82"
08/19/2022,"2.74"
08/18/2022,"2.71"
08/17/2022,"2.68"
08/16/2022,"2.70"
08/15/2022,"2.72"
08/12/2022,"2.63"
08/11/2022,"2.62"
08/10/2022,"2.65"
08/09/2022,"2.67"
08/08/2022,"2.65"
08/05/2022,"2.58"
08/04/2022,"2.50"
08/03/2022,"2.52"
08/02/2022,"2.56"
08/01/2022,"2.56"
07/29/2022,"2.41"
07/28/2022,"2.42"
07/27/2022,"2.44"
07/26/2022,"2.55"
07/25/2022,"2.62"
07/22/2022,"2.49"
07/21/2022,"2.48"
07/20/2022,"2.51"
07/19/2022,"2.52"
07/18/2022,"2.50"
07/15/2022,"2.37"
07/14/2022,"2.40"
07/13/2022,"2.39"
07/12/2022,"2.22"
07/11/2022,"2.18"
07/08/2022,"1.98"
07/07/2022,"1.95"
07/06/2022,"1.90"
07/05/2022,"1.90"
07/01/2022,"1.73"
06/30/2022,"1.72"
06/29/2022,"1.78"
06/28/2022,"1.79"
06/27/2022,"1.79"
06/24/2022,"1.73"
06/23/2022,"1.65"
06/22/2022,"1.61"
06/21/2022,"1.70"
06/17/2022,"1.63"
06/16/2022,"1.59"
06/15/2022,"1.74"
06/14/2022,"1.83"
06/13/2022,"1.73"
06/10/2022,"1.39"
06/09/2022,"1.30"
06/08/2022,"1.28"
06/07/2022,"1.26"
06/06/2022,"1.26"
06/03/2022,"1.21"
06/02/2022,"1.17"
06/01/2022,"1.15"
05/31/2022,"1.16"
05/27/2022,"1.08"
05/26/2022,"1.07"
05/25/2022,"1.06"
05/24/2022,"1.06"
05/23/2022,"1.07"
05/20/2022,"1.03"
05/19/2022,"1.05"
05/18/2022,"1.03"
05/17/2022,"1.06"
05/16/2022,"1.07"
05/13/2022,"1.03"
05/12/2022,"0.96"
05/11/2022,"0.91"
05/10/2022,"0.89"
05/09/2022,"0.92"
05/06/2022,"0.85"
05/05/2022,"0.85"
05/04/2022,"0.89"
05/03/2022,"0.91"
05/02/2022,"0.90"
04/29/2022,"0.85"
04/28/2022,"0.82"
04/27/2022,"0.82"
04/26/2022,"0.83"
04/25/2022,"0.91"
04/22/2022,"0.83"
04/21/2022,"0.83"
04/20/2022,"0.82"
04/19/2022,"0.81"
04/18/2022,"0.81"
04/14/2022,"0.79"
04/13/2022,"0.75"
04/12/2022,"0.74"
04/11/2022,"0.77"
04/08/2022,"0.70"
04/07/2022,"0.68"
04/06/2022,"0.67"
04/05/2022,"0.65"
04/04/2022,"0.66"
04/01/2022,"0.53"
03/31/2022,"0.52"
03/30/2022,"0.55"
03/29/2022,"0.55"
03/28/2022,"0.59"
03/25/2022,"0.55"
03/24/2022,"0.52"
03/23/2022,"0.50"
03/22/2022,"0.51"
03/21/2022,"0.54"
03/18/2022,"0.42"
03/17/2022,"0.40"
03/16/2022,"0.44"
03/15/2022,"0.46"
03/14/2022,"0.45"
03/11/2022,"0.40"
03/10/2022,"0.39"
03/09/2022,"0.38"
03/08/2022,"0.36"
03/07/2022,"0.38"
03/04/2022,"0.34"
03/03/2022,"0.38"
03/02/2022,"0.34"
03/01/2022,"0.32"
02/28/2022,"0.35"
02/25/2022,"0.33"
02/24/2022,"0.32"
02/23/2022,"0.34"
02/22/2022,"0.37"
02/18/2022,"0.35"
02/17/2022,"0.36"
02/16/2022,"0.38"
02/15/2022,"0.40"
02/14/2022,"0.43"
02/11/2022,"0.36"
02/10/2022,"0.40"
02/09/2022,"0.26"
02/08/2022,"0.25"
02/07/2022,"0.27"
02/04/2022,"0.23"
02/03/2022,"0.20"
02/02/2022,"0.19"
02/01/2022,"0.19"
01/31/2022,"0.22"
01/28/2022,"0.19"
01/27/2022,"0.20"
01/26/2022,"0.19"
01/25/2022,"0.19"
01/24/2022,"0.19"
01/21/2022,"0.17"
01/20/2022,"0.17"
01/19/2022,"0.17"
01/18/2022,"0.16"
01/14/2022,"0.13"
01/13/2022,"0.12"
01/12/2022,"0.12"
01/11/2022,"0.11"
01/10/2022,"0.13"
01/07/2022,"0.10"
01/06/2022,"0.10"
01/05/2022,"0.09"
01/04/2022,"0.08"
01/03/2022,"0.08"
